ESCALANOMENTO DE PIVÔS - Modelo M2
----------------------------------

Número de pivôs (setores):
1300

Vazão do Perímetro(rio) - m^3/h:
2000000000.0

Tabela:    Setor(Pivô) X     Demanda de água X  Demanda de Energia X   Tempo de irrigação --- (Setores de irrigação)
--------------------------------------------------------------------------------------------------------------------
574	0.014	7.5	2
798	0.004	15	6
1081	140	30	24
486	0.72	20	1
1236	140	30	20
601	0.014	7.5	2
1100	64	30	20
1180	140	30	20
936	0.004	15	5
1089	64	30	17
45	0.72	20	2
1266	140	30	20
368	0.72	20	1
831	0.004	15	5
1257	140	30	20
216	0.72	20	1
1207	140	30	20
1224	140	30	20
1400	140	30	9
624	0.014	7.5	2
1629	0.025	40	1
1223	140	30	20
357	0.72	20	1
941	140	30	20
864	140	30	20
1239	140	30	20
1199	140	30	20
159	0.72	20	1
1625	0.72	20	1
182	0.72	20	1
238	0.72	20	1
909	140	30	20
586	0.014	7.5	2
1270	140	30	20
825	140	30	13
709	0.004	15	3
918	140	30	20
1142	140	30	21
456	0.72	20	1
816	0.004	15	4
209	0.72	20	1
1041	140	30	24
342	0.72	20	1
169	0.72	20	1
1466	0.72	20	3
1045	140	30	24
329	0.72	20	1
1039	140	30	24
646	0.014	7.5	3
119	0.72	20	1
1177	140	30	20
96	0.72	20	2
197	0.72	20	1
734	0.004	15	4
1386	140	30	11
301	0.72	20	1
1627	0.025	40	1
1501	0.72	20	2
358	0.72	20	1
1172	140	30	20
858	0.004	15	4
1156	140	30	21
835	140	30	14
1470	0.72	20	3
214	0.72	20	1
485	0.72	20	2
483	0.72	20	1
1626	0.72	20	1
79	0.72	20	1
1104	64	30	20
353	0.72	20	1
613	0.014	7.5	2
1635	0.037	40	1
1211	140	30	20
1130	140	30	23
1320	140	30	20
193	0.72	20	1
1383	140	30	12
974	0.004	15	5
386	0.72	20	1
609	0.014	7.5	2
1601	0.037	40	1
1238	140	30	20
1255	140	30	20
1523	0.004	15	2
903	140	30	20
1369	64	30	17
917	140	30	20
811	140	30	12
778	0.004	15	4
1526	0.014	7.5	2
72	0.72	20	1
1276	140	30	20
1300	140	30	20
547	0.014	7.5	1
165	0.72	20	1
1539	0.72	20	2
1641	0.025	40	1
1575	0.72	20	1
460	0.72	20	1
427	0.72	20	1
1494	0.025	40	2
1259	140	30	20
1054	140	30	24
1190	140	30	20
604	0.014	7.5	2
961	0.004	15	4
1324	140	30	20
1163	140	30	20
187	0.72	20	1
433	0.72	20	2
878	140	30	20
1220	140	30	20
1020	140	30	23
441	0.72	20	1
295	0.72	20	2
415	0.72	20	2
363	0.72	20	1
99	0.72	20	1
1204	140	30	20
1032	140	30	24
670	0.014	7.5	2
39	0.72	20	1
511	0.72	20	1
1611	0.72	20	1
988	0.004	15	4
1534	0.72	20	2
1414	0.004	15	5
1237	140	30	20
291	0.72	20	1
569	0.014	7.5	2
937	140	30	20
861	0.004	15	5
551	0.014	7.5	2
1549	0.72	20	2
60	0.72	20	1
1021	140	30	23
638	0.014	7.5	2
797	140	30	12
263	0.72	20	1
1451	0.004	15	4
422	0.72	20	2
1279	140	30	20
7	0.014	7.5	1
1127	64	30	24
843	0.004	15	5
326	0.72	20	1
1227	140	30	20
779	0.004	15	4
465	0.72	20	2
163	0.72	20	1
1329	140	30	20
549	0.014	7.5	2
1072	140	30	24
1208	140	30	20
715	0.004	15	4
1022	140	30	23
1106	64	30	20
1150	140	30	21
687	0.004	15	2
1005	140	30	22
750	0.004	15	3
680	140	30	4
628	0.014	7.5	2
148	0.72	20	1
90	0.72	20	1
132	0.72	20	1
64	0.72	20	1
334	0.72	20	1
402	0.72	20	1
1517	0.025	40	2
531	0.72	20	2
1390	140	30	11
1581	0.025	40	1
752	0.004	15	6
599	0.014	7.5	3
130	0.72	20	1
1551	0.72	20	2
184	0.72	20	1
1497	0.72	20	2
1247	140	30	20
1407	0.72	20	8
949	140	30	20
450	0.72	20	1
188	0.72	20	1
479	0.72	20	2
1271	140	30	20
1559	0.037	40	2
299	0.72	20	1
133	0.72	20	1
1378	140	30	12
1274	140	30	20
468	0.72	20	1
337	0.72	20	1
1515	0.72	20	2
223	0.72	20	1
1647	0.72	20	1
106	0.72	20	1
1449	0.004	15	4
633	0.014	7.5	2
814	0.004	15	4
1323	140	30	20
1192	140	30	20
663	140	30	4
519	0.72	20	2
1068	140	30	24
1615	0.72	20	1
98	0.72	20	1
424	0.72	20	2
262	0.72	20	1
640	0.014	7.5	2
824	0.004	15	4
87	0.72	20	1
1432	0.72	20	4
939	0.004	15	4
1481	0.037	40	2
122	0.72	20	1
921	140	30	20
1347	64	30	20
542	0.037	7.5	2
435	0.72	20	1
373	0.72	20	1
225	0.72	20	2
546	0.014	7.5	1
722	0.004	15	4
1317	140	30	20
757	140	30	11
1505	0.014	7.5	2
1143	140	30	21
1616	0.72	20	1
994	140	30	22
1543	0.72	20	2
1657	0.72	20	1
946	0.004	15	4
455	0.72	20	1
1662	0.72	20	1
1511	0.014	7.5	2
1454	0.72	20	3
873	0.004	15	6
1452	0.037	7.5	4
461	0.72	20	1
1554	0.72	20	2
55	0.72	20	1
30	0.72	20	1
723	0.004	15	4
217	0.72	20	2
629	0.014	7.5	2
1246	140	30	20
1050	140	30	24
1134	140	30	22
1550	0.72	20	2
1225	140	30	20
575	0.72	20	2
287	0.72	20	1
964	140	30	21
