20 70000 24
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.4 0.4 0.4 0.4 0.4 0.4 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.4 0.4 0.4
01             7800                      2000                  13
02             6600                      2000                  11
03             8400                      4000                  14
04             9000                      4000                  15
05             9000                      4000                  15
06            11400                      6000                  19
07             4200                      2000                   7
08             3000                      2000                   5
09            10800                      5000                  18
10            10800                      5000                  18
11             7800                      2000                  13
12             6600                      2000                  11
13             8400                      4000                  14
14             9000                      4000                  15
15             9000                      4000                  15
16            11400                      6000                  19
17             4200                      2000                   7
18             3000                      2000                   5
19            10800                      5000                  18
20            10800                      5000                  18

